Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
Negros Occidental,Bacolod City,Barangay 1 Zone 1,AGUINALDO ST.,NORTH DR TO 28TH ST (PREVIOUSLY NORTH DR TO 29TH ST),RR,10200.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,AGUINALDO ST.,NORTH DR TO 28TH ST (PREVIOUSLY NORTH DR TO 29TH ST),CR,16400.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,GATUSLAO ST,NORTH DR TO 29TH ST,RR,7500.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,GATUSLAO ST,NORTH DR TO 29TH ST,CR,16400.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,GATUSLAO EXT. (CALAMBA St.),NORTH DR EXT. UP TO END OF CALAMBA ST.,RR,8100.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,LACSON ST,NORTH DR TO MANDALAGAN (BRIDGE),CR,50000.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,NORTH DRIVE,SAN JUAN ST. TO GATUSLAO ST.,RR,10900.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,NORTH DRIVE,SAN JUAN ST. TO GATUSLAO ST.,CR *,13000.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,NORTH DRIVE,GATUSLAO ST. TO LACSON ST.,CR,24300.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,SAN JUAN ST,NORTH DR TO STO NIÑO,RR,7400.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,SAN JUAN ST,NORTH DR TO STO NIÑO,CR,20400.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,23RD STREET,LACSON ST. TO GATUSLAO ST,RR,11900.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,23RD STREET,LACSON ST. TO GATUSLAO ST,CR,16400.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,24TH STREET,CAPITOL SUBD TO GATUSLAO ST.,RR,11000.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,24TH STREET,CAPITOL SUBD TO GATUSLAO ST.,CR,16400.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,24TH STREET,LACSON ST. TO GATUSLAO ST.,RR,11900.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,24TH STREET,LACSON ST. TO GATUSLAO ST.,CR,16400.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,25TH STREET,LACSON ST. TO GATUSLAO ST.,RR,13500.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,25TH STREET,LACSON ST. TO GATUSLAO ST.,CR,17800.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,25TH STREET,CAPITOL SUBD TO GATUSLAO ST.,RR,13500.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,25TH STREET,CAPITOL SUBD TO GATUSLAO ST.,CR,17000.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,26TH STREET,CAPITOL SUBD TO GATUSLAO ST.,RR,13500.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,26TH STREET,CAPITOL SUBD TO GATUSLAO ST.,CR,17700.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,26TH STREET,LACSON ST. TO GATUSLAO ST.,RR,13500.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,26TH STREET,LACSON ST. TO GATUSLAO ST.,CR,17000.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,27TH STREET,CAPITOL SUBD TO GATUSLAO ST.,RR,13500.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,27TH STREET,CAPITOL SUBD TO GATUSLAO ST.,CR,17700.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,27TH STREET,LACSON ST. TO GATUSLAO ST.,RR,13500.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,27TH STREET,LACSON ST. TO GATUSLAO ST.,CR,17000.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,28TH STREET,AGUINALDO ST. TO  GATUSLAO ST.,RR,10300.0
Negros Occidental,Bacolod City,Barangay 1 Zone 1,28TH STREET,AGUINALDO ST. TO  GATUSLAO ST.,CR,14100.0
