Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),ALEJO ALVAREZ ST,R.T.LIM BLVD - SAN JOSE,CR,22100.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),ALEJO ALVAREZ ST,R.T.LIM BLVD - SAN JOSE,RR,12700.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),ALEJO ALVAREZ ST,INTERIOR LOT,RR,6400.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),CARMEN ST VARELA ST,R.T.LIM BLVD - SAN JOSE,CR,22200.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),CARMEN ST VARELA ST,R.T.LIM BLVD - SAN JOSE,RR,12700.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),CARMEN ST VARELA ST,INTERIOR LOT,RR,6400.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),CAWACAWA PC CPD,R.T.LIM BLVD - ALEJO ALVAREZ ST,CR,21400.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),CAWACAWA PC CPD,R.T.LIM BLVD - ALEJO ALVAREZ ST,X,21300.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),CAWACAWA PC CPD,INTERIOR LOT,RR,5600.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),CLIMACO AVE,LEDESMA ST - GOV. LIM AVE.,CR,29700.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),GOV. LIM AVE,CLIMACO AVE - MAGAY ST,CR,23000.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),GOV. LIM AVE,CLIMACO AVE - MAGAY ST,RR,13600.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),MAGAY ST,GOV. LIM AVE-R.T LIM BLVD,CR,22200.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),MERCADO ST,T. CLAUDIO - GOV. LIM,CR,23000.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),MERCADO ST,T. CLAUDIO - GOV. LIM,RR,10300.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),M. CALIXTO ST,MAGAY ST - SAN JOSE RD,CR,23300.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),M. CALIXTO ST,MAGAY ST - SAN JOSE RD,RR,10300.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),R. T. LIM BLVD,MAGAY ST - A. ALVAREZ ST,CR,21900.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),R. T. LIM BLVD,MAGAY ST - A. ALVAREZ ST,RR,13300.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),TOMAS CLAUDIO ST,CLIMACO AVE - VARELA ST,CR,22700.0
ZAMBOANGA DEL SUR,ZAMBOANGA CITY,POBLACION (ZONE 1),TOMAS CLAUDIO ST,CLIMACO AVE - VARELA ST,RR,10200.0
