Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
AGUSAN DEL SUR,ESPERANZA,POBLACION,ESPERANZA BOULEVARD,Magsaysay St. - Quirino St.,CR,2880.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,ESPERANZA BOULEVARD,Quezon St. - Magsaysay St.,RR,1950.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,ESPERANZA BOULEVARD,Quirino St. - Cubo Boulevard,RR,1610.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,BOONG STREET,Magsaysay St. - Quirino St.,CR,2830.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,BOONG STREET,Quezon St. - Magsaysay St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,PONCE STREET,Quirino St. - Cubo Boulevard,RR,1560.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,BADBARAN STREET,Quezon St. - Magsaysay St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,VILLANUEVA STREET,Quezon St. - Rizal St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,LAPU - LAPU STREET,Rizal St. - Cubo Boulevard,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,ESPERANZA SIBAGAT FEEDER ROAD,Aguinaldo St. - Cubo Blvd,RR,1160.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,QUIRINO STREET,Esperanza Blvd. - Ponce St.,CR,2732.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,QUIRINO STREET,Boong St. - Laurel St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,CUBO BOULEVARD,Esperanza Blvd. - Esperanza Sibagat Feeder Road,RR,1100.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,CAIMITO STREET,Ponce St. - Lapu-lapu St.,RR,1160.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,AGUINALDO STREET,Esperanza Blvd. - Esperanza Sibagat Feeder Road,RR,1160.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,DURIAN STREET,Ponce St. - Quirino St.,RR,6100.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,NARRA STREET,Esperanza Blvd. - Lapu-lapu St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,LAUREL STREET,Caimito St. - Esperanza Sibagat Feeder Road,RR,1160.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,MANGGA STREET,Ponce St. - Quirino St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,MOLAVE STREET,Ponce St. - Quirino St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,MAGSAYSAY STREET,Esperanza Blvd. - Boong St.,CR,2850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,MAGSAYSAY STREET,Boong St. - Laurel St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,RIZAL STREET,Esperanza Blvd. - Lapu-lapu St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,GARCIA STREET,Boong St. - Villanueva St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,OSMEÑA STREET,Esperanza Blvd. - Villanueva St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,A. P. ROMAO STREET,Esperanza Blvd. - Payog St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,QUEZON STREET,Esperanza Blvd. - Payog St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,GIDOMAN STREET,Quezon St. - Osmeña St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,ENGAG STREET,Quezon St. - Osmeña St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,JOMBOY STREET,Quezon St. - Osmeña St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,WAYOY STREET,Quezon St. - Osmeña St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,PAYOG STREET,Quezon St. - Osmeña St.,RR,1850.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,ALL OTHER STREETS,,RR,1100.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,ALL LOTS,,A1,52.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,ALL LOTS,None,A2,39.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,ALL LOTS,None,A4,31.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,ALL LOTS,None,A5,32.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,ALL LOTS,None,A10,17.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,ALL LOTS,None,A12,32.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,ALL LOTS,None,A14,36.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,ALL LOTS,None,A16,40.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,ALL LOTS,Falcata,A44,55.0
AGUSAN DEL SUR,ESPERANZA,POBLACION,ALL LOTS,Brush land,A50,16.0
AGUSAN DEL SUR,ESPERANZA,AGSABO,BARANGAY ROAD,,RR,322.0
AGUSAN DEL SUR,ESPERANZA,AGSABO,ALL LOTS,,A5,17.0
AGUSAN DEL SUR,ESPERANZA,AGSABO,ALL LOTS,None,A10,15.0
AGUSAN DEL SUR,ESPERANZA,AGSABO,ALL LOTS,None,A14,19.0
AGUSAN DEL SUR,ESPERANZA,AGSABO,ALL LOTS,None,A16,21.0
AGUSAN DEL SUR,ESPERANZA,AGSABO,ALL LOTS,None,A36,17.0
AGUSAN DEL SUR,ESPERANZA,AGSABO,ALL LOTS,Ipil-Ipil,A44,22.0
AGUSAN DEL SUR,ESPERANZA,AGSABO,ALL LOTS,Brush Land,A50,9.0
AGUSAN DEL SUR,ESPERANZA,AGUINALDO,BARANGAY ROAD,,RR,334.0
AGUSAN DEL SUR,ESPERANZA,AGUINALDO,ALL LOTS,,A1,43.0
AGUSAN DEL SUR,ESPERANZA,AGUINALDO,ALL LOTS,None,A2,31.0
AGUSAN DEL SUR,ESPERANZA,AGUINALDO,ALL LOTS,None,A4,42.0
AGUSAN DEL SUR,ESPERANZA,AGUINALDO,ALL LOTS,None,A10,26.0
AGUSAN DEL SUR,ESPERANZA,AGUINALDO,ALL LOTS,None,A12,36.0
AGUSAN DEL SUR,ESPERANZA,AGUINALDO,ALL LOTS,None,A16,25.0
AGUSAN DEL SUR,ESPERANZA,AGUINALDO,ALL LOTS,None,A19,30.0
AGUSAN DEL SUR,ESPERANZA,AGUINALDO,ALL LOTS,None,A35,32.0
AGUSAN DEL SUR,ESPERANZA,AGUINALDO,ALL LOTS,None,A36,17.0
