Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,A. CURATO ST.,L. DAGANI ST. - CABANGASAN CREEK & JUNCTION OF L. CORVERA AVE. & F. MORA ST. (SS),CR,6250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,A. CURATO ST.,L. DAGANI ST. - CABANGASAN CREEK & JUNCTION OF L. CORVERA AVE. & F. MORA ST. (SS),RR,3250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,A. CURATO ST.,L. DAGANI-FUNCION (NS),CR,6250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,A. FAMADOR AVE.,ATEGA ST. - FUNCION ST.,RR,2900.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,A. FAMADOR AVE.,FUNCION ST. - JUNCTION OF A FAMADOR AVE. & J. JONGKO ST. JUNCTION OF A. FAMADOR AVE. & J. JONGKO ST. FF. A. FAMADOR AVE.,RR,2750.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,A. MORTOLA ST.,ALAAN ST.-VILLANUEVA ST.,CR,5250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,A. MORTOLA ST.,ALAAN ST.-VILLANUEVA ST.,RR,3250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,AGLIPAY ST.,ATTY. VIRGILIO N. ATEGA SR.-F.C.DAGANI AVE.,RR,2450.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,ASIS ST.,ALAAN ST.-FUNCION ST. (NS),CR,4400.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,ASIS ST.,ALAAN ST.-FUNCION ST. (SS)*,CR,6250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,ASIS ST.,L. DAGANI ST.- CABANGASAN CREEK,RR,2450.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,ASIS ST.,FUNCION ST.- L. DAGANI ST.*,CR,6250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,ASIS ST.,OJEDA AVE. -ALAAN (NS),RR,4250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,ASIS ST.,OJEDA AVE.-RARA ST. (SS),RR,4250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,ASIS ST.,RARA ST.-FUNCION ST. (SS),CR,6250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,ASIS ST.,FUNCION ST. TO CABANGASAN CREEK*,RR,3250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,ATEGA PARK PERIMETER,A. CURATO ST. FF. ATEGA PARK PERIMETER,CR,7250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,ATEGA ST.,CABILTES ST-E. CURATO ST.,CR,6800.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,ATEGA ST.,E. CURATO ST.-J. JONGKO ST.,RR,4250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,ATEGA ST.,J. JONGKO ST.-A. FAMADOR AVE.,RR,4250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,ATEGA ST.,F.C. DAGANI AVE.-A. CURATO ST.,CR,6250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,ATEGA ST.,F.C. DAGANI AVE.-A. CURATO ST.,RR,4250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,ATEGA ST.,A. CURATO ST. TO CABILTES ST.*,CR,6250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,B. MILAN ST.,T. CURATO ST. -F.C. DAGANI AVE.,CR,6250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,B. MILAN ST.,T. CURATO ST. -F.C. DAGANI AVE.,RR,3250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,PADUGANAN ST.,F.C DAGANI AVE. - ATEGA PARK PERIMETER*,CR,7250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,BAYLIN ST.,CURATO ST.-DELOS REYES ST.,RR,3250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,CABILTES ST.,ALAAN ST.-L.DAGANI ST. (SS),CR,4550.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,CABILTES ST.,ALAAN ST.-VILLANUEVA ST. (NS),CR,4550.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,CABILTES ST.,L. DAGANI ST.- CABANGASAN CREEK,RR,3250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,CABILTES ST.,N. MORTOLA AVENUE TO L. DAGANI ST. (Front Lots)*,RR,4250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,CABILTES ST.,N. MORTOLA AVENUE TO ALAAN ST. (Interior Lots)*,RR,4100.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,CABILTES ST.,FUNCION ST. - CABANGASAN CKREEK (Front Lots)*,RR,4250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,CABILTES ST.,FUNCION ST. - CABANGASAN CKREEK (Interior  Lots)*,RR,4100.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,CABILTES ST.,FUNCION ST.-DAGANI ST. (NS),CR,6250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,CABILTES ST.,FUNCION ST.-DAGANI ST. (SS),CR,6250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,CABILTES ST.,FUNCION ST.-DAGANI ST. (SS),RR,4250.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,CABILTES ST.,RARA ST.-ALAAN ST.,RR,2750.0
AGUSAN DEL NORTE,CABADBARAN CITY,POBLACION 1-12,F.C. DAGANI ST.,CABANGASAN CREEK-JUNCTION OF FUNCION ST. & A. CURATO ST.,RR,2750.0
