Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
BOHOL,TAGBILARAN,POBLACION I,CPG AVE EAST,J S TORRALBA - J A CLARIN,RR**,11500.0
BOHOL,TAGBILARAN,POBLACION I,CPG AVE EAST,J S TORRALBA - J A CLARIN,CR,14500.0
BOHOL,TAGBILARAN,POBLACION I,CPG AVE EAST,J A CLARIN - S MATIG-A (A. Luna),RR**,11000.0
BOHOL,TAGBILARAN,POBLACION I,CPG AVE EAST,J A CLARIN - S MATIG-A (A. Luna),CR,13750.0
BOHOL,TAGBILARAN,POBLACION I,CPG AVE EAST,MATIG-A (A. Luna) - (Butalid Street) M. PARRAS,RR**,10500.0
BOHOL,TAGBILARAN,POBLACION I,CPG AVE EAST,MATIG-A (A. Luna) - (Butalid Street) M. PARRAS,CR,13500.0
BOHOL,TAGBILARAN,POBLACION I,CPG AVE EAST,PARRAS ST - BBM 5,RR**,10000.0
BOHOL,TAGBILARAN,POBLACION I,CPG AVE EAST,PARRAS ST - BBM 5,CR,12750.0
BOHOL,TAGBILARAN,POBLACION I,CPG AVE EAST,INTERIOR LOTS,RR**,7325.0
BOHOL,TAGBILARAN,POBLACION I,M.  SARMIENTO ST,J S TORRALBA - J A CLARIN,RR**,10000.0
BOHOL,TAGBILARAN,POBLACION I,M.  SARMIENTO ST,J S TORRALBA - J A CLARIN,CR,12750.0
BOHOL,TAGBILARAN,POBLACION I,V.P. INTING AVE,J A CLARIN - SAN ROQUE,RR**,11500.0
BOHOL,TAGBILARAN,POBLACION I,V.P. INTING AVE,J A CLARIN - SAN ROQUE,CR,14500.0
BOHOL,TAGBILARAN,POBLACION I,V.P. INTING AVE,SAN ROQUE - MATIG-A,RR**,10750.0
BOHOL,TAGBILARAN,POBLACION I,V.P. INTING AVE,SAN ROQUE - MATIG-A,CR,13750.0
BOHOL,TAGBILARAN,POBLACION I,V.P. INTING AVE,MATIG-A - PARRAS ST,RR**,10500.0
BOHOL,TAGBILARAN,POBLACION I,V.P. INTING AVE,MATIG-A - PARRAS ST,CR,13500.0
BOHOL,TAGBILARAN,POBLACION I,V.P. INTING AVE,PARRAS ST - BBM 2,RR**,10000.0
BOHOL,TAGBILARAN,POBLACION I,V.P. INTING AVE,PARRAS ST - BBM 2,CR,12750.0
BOHOL,TAGBILARAN,POBLACION I,BLUMENTRITT ST,LOURDES ST - SAN ROQUE,RR**,6500.0
BOHOL,TAGBILARAN,POBLACION I,BLUMENTRITT ST,LOURDES ST - SAN ROQUE,CR,7500.0
BOHOL,TAGBILARAN,POBLACION I,SAN JOSE ST,J S TORRALBA - J M BASA,RR**,6500.0
BOHOL,TAGBILARAN,POBLACION I,SAN JOSE ST,J S TORRALBA - J M BASA,CR,7500.0
BOHOL,TAGBILARAN,POBLACION I,T. BUTALID ST,J S TORRALBA - CAUSEWAY,RR**,8750.0
BOHOL,TAGBILARAN,POBLACION I,T. BUTALID ST,J S TORRALBA - CAUSEWAY,CR,10500.0
BOHOL,TAGBILARAN,POBLACION I,FRANKLIN ST,BUTALID DR.- J. M. BASA,RR**,7750.0
BOHOL,TAGBILARAN,POBLACION I,FRANKLIN ST,BUTALID DR.- J. M. BASA,CR,9750.0
BOHOL,TAGBILARAN,POBLACION I,J. S. TORRALBA,CPG AVE EAST - GALLARES,RR**,9750.0
BOHOL,TAGBILARAN,POBLACION I,J. S. TORRALBA,CPG AVE EAST - GALLARES,CR,11750.0
BOHOL,TAGBILARAN,POBLACION I,J. S. TORRALBA,GALLARES - BUTALID DR.,RR**,8000.0
BOHOL,TAGBILARAN,POBLACION I,J. S. TORRALBA,GALLARES - BUTALID DR.,CR,8750.0
BOHOL,TAGBILARAN,POBLACION I,J. A. CLARIN,CPG AVE EAST-VP INTING,RR**,11250.0
BOHOL,TAGBILARAN,POBLACION I,J. A. CLARIN,CPG AVE EAST-VP INTING,CR,19500.0
BOHOL,TAGBILARAN,POBLACION I,J. A. CLARIN,VP INTING - BUTALID DR.,RR**,11500.0
BOHOL,TAGBILARAN,POBLACION I,J. A. CLARIN,VP INTING - BUTALID DR.,CR,13500.0
BOHOL,TAGBILARAN,POBLACION I,LOURDES ST,VP INTING - SAN JOSE ST,RR**,10000.0
BOHOL,TAGBILARAN,POBLACION I,LOURDES ST,VP INTING - SAN JOSE ST,CR,10750.0
