Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
Negros Occidental,Cadiz,Poblacion I,CABAHUG ST.,Gustilo Blvd-Talaba-An River,RR,2800.0
Negros Occidental,Cadiz,Poblacion I,CABAHUG ST.,Block 25,RR,2805.0
Negros Occidental,Cadiz,Poblacion I,CELA (VILLA VICTORIA),,RR,2300.0
Negros Occidental,Cadiz,Poblacion I,VILLA VICTORIA,,RR,1100.0
Negros Occidental,Cadiz,Poblacion I,VILLA VICTORIA,Foreshore Lots,I,6100.0
Negros Occidental,Cadiz,Poblacion I,"PUROK KABURIHAN, ZONE 1",,RR,1100.0
Negros Occidental,Cadiz,Poblacion I,TUPA (Talaba-an Urban Poor Association),,RR,2800.0
Negros Occidental,Cadiz,Poblacion I,VILLA RETIRADO,,RR,1800.0
Negros Occidental,Cadiz,Poblacion I,CRISTINA SUBD.,Along Main Road,RR,2800.0
Negros Occidental,Cadiz,Poblacion I,CRISTINA SUBD.,Interior,RR,2600.0
Negros Occidental,Cadiz,Poblacion I,CRISTINA SUBD.,Interior,GP,1000.0
Negros Occidental,Cadiz,Poblacion II,CABAHUG ST.,"Lot 1426 A-2, 1426-A-1",CR,8500.0
Negros Occidental,Cadiz,Poblacion II,CABAHUG ST.,Eusebio Subd. (South Side),CR,8500.0
Negros Occidental,Cadiz,Poblacion II,GUSTILO BOULEVARD,Villena St.-Cabahug St. (East Side),CR,8500.0
Negros Occidental,Cadiz,Poblacion II,VILLA BARILEA SUBD.,,RR,2800.0
Negros Occidental,Cadiz,Poblacion II,VILLA BARBAS SUBD.,,RR,2800.0
Negros Occidental,Cadiz,Poblacion II,VILLA BEACH SUBD.,"Lot 33-A,B,C,D; 32-A,B,C,D",RR,2800.0
Negros Occidental,Cadiz,Poblacion II,VILLENA ST.,Gustilo Blvd.-Road Lot 8 of San Eusebio Subd. (North Side),CR,8500.0
Negros Occidental,Cadiz,Poblacion II,MAGSAYSAY ST. EXTENSION,Block 2 of Andrea Village,CR,9000.0
