Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
CAPIZ,ROXAS CITY,BATO,CONDOMINIUMS/TOWNHOUSES,V I C I N I T Y,FICATION,ZV/SQ.M
CAPIZ,ROXAS CITY,BATO,BANICA-BATO-MILIBILI ROAD,*FROM THE FOOT OF THE BANICA-BATO BRIDGE TO BRGY. BOUNDARY LINE OF BRGY.MILIBILI,RR,1780.0
CAPIZ,ROXAS CITY,BATO,BANICA-BATO-MILIBILI ROAD,*FROM THE FOOT OF THE BANICA-BATO BRIDGE TO BRGY. BOUNDARY LINE OF BRGY.MILIBILI,CR,4270.0
CAPIZ,ROXAS CITY,BATO,BANICA-BATO-MILIBILI ROAD,INTERIOR LOTS,RR,1450.0
CAPIZ,ROXAS CITY,BATO,BANICA-BATO-MILIBILI ROAD,INTERIOR LOTS,CR,4200.0
CAPIZ,ROXAS CITY,BATO,BATO-PANAY ROAD,*FROM FOOT OF BANICA-BATO BRIDGE TO BOUNDARY LINE OF MUN.OF PANAY&BRGY.,RR,1640.0
CAPIZ,ROXAS CITY,BATO,BATO-PANAY ROAD,*FROM FOOT OF BANICA-BATO BRIDGE TO BOUNDARY LINE OF MUN.OF PANAY&BRGY.,CR,4440.0
CAPIZ,ROXAS CITY,BATO,ALL OTHER STREETS,,I,4110.0
CAPIZ,ROXAS CITY,BATO,ALL OTHER STREETS,None,X,3800.0
CAPIZ,ROXAS CITY,BATO,ALL OTHER STREETS,None,RR,1640.0
CAPIZ,ROXAS CITY,BATO,ALL OTHER STREETS,None,GP,1070.0
CAPIZ,ROXAS CITY,BATO,ALL OTHER STREETS,None,A2,32.0
CAPIZ,ROXAS CITY,BATO,ALL OTHER STREETS,None,A50,20.0
CAPIZ,ROXAS CITY,BATO,*PINESVILLE(URBAN POOR RESIDENTIAL) BRGY BATO,,*RR,1640.0
CAPIZ,ROXAS CITY,BATO,*SITIO FATIMA,,*RR,1640.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,CONDOMINIUMS/TOWNHOUSES,V I C I N I T Y,FICATION,ZV/SQ.M
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,ARNALDO BOULEVARD,*FROM JUNCTION OF CULASI-DUMOLOG ROAD TO BRGY.BDRY. LINE OF BRGY.TANQUE,RR,4640.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,ARNALDO BOULEVARD,*FROM JUNCTION OF CULASI-DUMOLOG ROAD TO BRGY.BDRY. LINE OF BRGY.TANQUE,CR,9670.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,CULASI-DUMOLOG ROAD,*FROM BRGY.CULASI BOUNDARY LINE TRO BRGY. DUMOLOG BDRY.LONE,RR,4470.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,CULASI-DUMOLOG ROAD,*FROM BRGY.CULASI BOUNDARY LINE TRO BRGY. DUMOLOG BDRY.LONE,CR,9160.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,CULASI-DUMOLOG ROAD,INTERIOR LOTS,RR,4060.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,AIRPORT ROAD,*FROM EASTERN SIDE OF ARNALDO BLVD.,RR,4630.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,AIRPORT ROAD,TO AIRPORT,CR,9870.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*SITIO SAN JUAN POBLACION,,*RR,3100.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*SITIO SAN JUAN POBLACION,,*CR,9220.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*SITIO SAN JUAN POBLACION,,*A39,9370.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*URBAN POOR POBLACION,,*RR,3100.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*SITIO PUNTA SAN ROQUE (Formerly Sitio Takilid),,*RR,3100.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*SITIO PUNTA SAN ROQUE (Formerly Sitio Takilid),,*CR,9220.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*SITIO STO. NIÑO,,*RR,3100.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*SITIO STO. NIÑO,,*CR,9220.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*BRGY. ROAD TO RIO GRANDE,,*RR,3100.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*BRGY. ROAD TO RIO GRANDE,,*CR,9220.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*BRGY. ROAD BESIDE BOMBO RADY,,*RR,3100.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*SITIO M. ALTAVAS,,*RR,3100.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*SITIO BAYBAY CROSSING,,*RR,3100.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*SITIO BAYBAY CROSSING,,*CR,9220.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*BARANGAY ROAD TO SAN ANTONIO VILLAGE,,*RR,3100.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*BARANGAY ROAD TO SAN ANTONIO VILLAGE,,*CR,9220.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*SITIO LAWIS,,*RR,3100.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*SITIO LAWIS,,*CR,9220.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*SITIO LAWIS,,*A39,10870.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,CONDOMINIUMS/TOWNHOUSES,V I C I N I T Y,FICATION,ZV/SQ.M
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,ALL OTHER STREETS,,I,9240.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,ALL OTHER STREETS,None,X,9320.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,ALL OTHER STREETS,None,RR,2900.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,ALL OTHER STREETS,None,*CR,9220.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,ALL OTHER STREETS,None,GP,1660.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,ALL OTHER STREETS,None,A6,120.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,ALL OTHER STREETS,None,A17,90.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,ALL OTHER STREETS,None,A39,9220.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,ALL OTHER STREETS,None,A40,9320.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,ALL OTHER STREETS,None,A50,35.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*ARCHES SUBDIVISION,,*RR,2900.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*CONLU SUBDIVISION,,*RR,2900.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*KAWILIHAN SUBDIVISION,,*RR,2900.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*MARIAN PARK SUBDIVISION,,*RR,2900.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*MARTELINO SUBDIVISION,,*RR,2900.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*RIO GRANDE SUBD.,,*RR,4570.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*RIO GRANDE SUBD.,,*CR,9620.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*SAN ANTONIO VILLAGE SUBD.,,*RR,4640.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*SAN ANTONIO VILLAGE SUBD.,,*CR,9620.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*SERVERINO SUBDIVISION,,*RR,2900.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BAYBAY,*VILLA CARMEL VILLAGE,,*RR,2900.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BOLO,CONDOMINIUMS/TOWNHOUSES,V I C I N I T Y,FICATION,ZV/SQ.M
ROXAS CITY,/PROVINCE:  ROXAS CITY,BOLO,BOLO-ARCABALO ROAD,*FROM JUNCTION OF LAWAAN LANOT BALO ROAD TO JUNCTION OF PANG-PANG BOLO,RR,2430.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BOLO,BOLO-ARCABALO ROAD,*FROM JUNCTION OF LAWAAN LANOT BALO ROAD TO JUNCTION OF PANG-PANG BOLO,CR,6490.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BOLO,BOLO-PINAYPAYAN ROAD,*FROM JUNCTION OF LAWAAN LANOT BOLO ROAD TO JUNCTION OF PANG-PANG BOLO,RR,2430.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BOLO,BOLO-PINAYPAYAN ROAD,*FROM JUNCTION OF LAWAAN LANOT BOLO ROAD TO JUNCTION OF PANG-PANG BOLO,CR,6490.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BOLO,BOLO-PINAYPAYAN ROAD,INTERIOR LOTS,RR,2060.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BOLO,BOLO-PINAYPAYAN ROAD,INTERIOR LOTS,CR,5500.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BOLO,LAWA-AN BOLO-LANOT ROAD,*FROM BRGY.BDRY OF BRGY.LANOT TO BGRY. BOUNDARY OF BRGY.LONOY,RR,3420.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BOLO,LAWA-AN BOLO-LANOT ROAD,*FROM BRGY.BDRY OF BRGY.LANOT TO BGRY. BOUNDARY OF BRGY.LONOY,CR,7020.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BOLO,PANG-PANG BOLO ROAD,*FROM BRGY.BDRY LINE OF BRGY.MILIBILI TO BRGY. BONDARY LINE BRGY.LANOT,RR,2430.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BOLO,PANG-PANG BOLO ROAD,*FROM BRGY.BDRY LINE OF BRGY.MILIBILI TO BRGY. BONDARY LINE BRGY.LANOT,CR,6490.0
ROXAS CITY,/PROVINCE:  ROXAS CITY,BOLO,INTERIOR ROADS,*FROM PANG-PANG BOLO ROAD TO TIERRA VERDE SUBDIVISION LOT,RR,2240.0
