Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
NCR,TAGUIG,BAGUMBAYAN,1st AVENUE,STA. MARIA REAL ESTATE COMPOUND,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,1st AVENUE,STA. MARIA REAL ESTATE COMPOUND,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,2nd AVENUE,STA. MARIA REAL ESTATE COMPOUND,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,2nd AVENUE,STA. MARIA REAL ESTATE COMPOUND,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,3rd AVENUE,MANALAC AVENUE TO JOSEPH SITT,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,3rd AVENUE,MANALAC AVENUE TO JOSEPH SITT,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,4th AVENUE,STA. MARIA REAL ESTATE COMPOUND,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,4th AVENUE,STA. MARIA REAL ESTATE COMPOUND,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,5th AVENUE,STA. MARIA REAL ESTATE COMPOUND,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,5th AVENUE,STA. MARIA REAL ESTATE COMPOUND,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,1st STREET,STA. MARIA REAL ESTATE COMPOUND,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,1st STREET,STA. MARIA REAL ESTATE COMPOUND,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,ANTONIO DRIVE,STA. MARIA REAL ESTATE COMPOUND,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,ANTONIO DRIVE,STA. MARIA REAL ESTATE COMPOUND,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,ARTURO DRIVE,STA. MARIA REAL ESTATE COMPOUND,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,ARTURO DRIVE,STA. MARIA REAL ESTATE COMPOUND,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,BATISAN,M.L. QUEZON-DEAD END,RR,11000.0
NCR,TAGUIG,BAGUMBAYAN,BATISAN,M.L. QUEZON-DEAD END,CR,16000.0
NCR,TAGUIG,BAGUMBAYAN,CARLO DRIVE,STA. MARIA REAL ESTATE COMPOUND,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,CARLO DRIVE,STA. MARIA REAL ESTATE COMPOUND,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,DAAN CALABAO***,CONNECTING TERESITA DRIVE,RR,11000.0
NCR,TAGUIG,BAGUMBAYAN,DAAN CALABAO***,CONNECTING TERESITA DRIVE,CR,16000.0
NCR,TAGUIG,BAGUMBAYAN,DAAN CALABAO***,CONNECTING TERESITA DRIVE,I,18000.0
NCR,TAGUIG,BAGUMBAYAN,E.LAURA DRIVE**,,RR,28000.0
NCR,TAGUIG,BAGUMBAYAN,E.LAURA DRIVE**,,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,E.LAURA DRIVE**,,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,FRANCO DRIVE,STA. MARIA REAL ESTATE COMPOUND,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,FRANCO DRIVE,STA. MARIA REAL ESTATE COMPOUND,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,LAURA DRIVE,STA. MARIA REAL ESTATE COMPOUND,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,LAURA DRIVE,STA. MARIA REAL ESTATE COMPOUND,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,M. L QUEZON ST.(DIR A. BUNYE)*,BAGUMBAYAN BRDY - END,RR,19000.0
NCR,TAGUIG,BAGUMBAYAN,M. L QUEZON ST.(DIR A. BUNYE)*,BAGUMBAYAN BRDY - END,CR,33000.0
NCR,TAGUIG,BAGUMBAYAN,M. L QUEZON ST.(DIR A. BUNYE)*,BAGUMBAYAN BRDY - END,X,30000.0
NCR,TAGUIG,BAGUMBAYAN,MANALAC AVENUE,STA. MARIA REAL ESTATE COMPOUND,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,MANALAC AVENUE,STA. MARIA REAL ESTATE COMPOUND,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,PASO ST.,CONNECTING DAAN CALABAO,RR,11000.0
NCR,TAGUIG,BAGUMBAYAN,PASO ST.,CONNECTING DAAN CALABAO,CR,16000.0
NCR,TAGUIG,BAGUMBAYAN,PASO ST.,CONNECTING DAAN CALABAO,I,18000.0
NCR,TAGUIG,BAGUMBAYAN,PERFECTO DRIVE,STA. MARIA REAL ESTATE COMPOUND,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,PERFECTO DRIVE,STA. MARIA REAL ESTATE COMPOUND,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,ROCKY HILL**,,RR,11000.0
NCR,TAGUIG,BAGUMBAYAN,ROCKY HILL**,,CR,16000.0
NCR,TAGUIG,BAGUMBAYAN,SANTIAGO,M. QUEZON-DEAD END,RR,11000.0
NCR,TAGUIG,BAGUMBAYAN,SANTIAGO,M. QUEZON-DEAD END,CR,16000.0
NCR,TAGUIG,BAGUMBAYAN,SEVERINA AVE.,STA. MARIA REAL ESTATE COMPOUND,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,SEVERINA AVE.,STA. MARIA REAL ESTATE COMPOUND,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,ST. MARTIN AVENUE**,OUTSIDE MAHOGANY HOMES,RR,11000.0
NCR,TAGUIG,BAGUMBAYAN,ST. MARTIN AVENUE**,OUTSIDE MAHOGANY HOMES,CR,16000.0
NCR,TAGUIG,BAGUMBAYAN,STA. MARIA DRIVE/AVENUE,STA. MARIA REAL ESTATE COMPOUND,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,STA. MARIA DRIVE/AVENUE,STA. MARIA REAL ESTATE COMPOUND,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,STA. TERESITA DRIVE,STA. MARIA REAL ESTATE COMPOUND,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,STA. TERESITA DRIVE,STA. MARIA REAL ESTATE COMPOUND,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,TRISTAN STREET,STA. MARIA REAL ESTATE COMPOUND,CR,41000.0
NCR,TAGUIG,BAGUMBAYAN,TRISTAN STREET,STA. MARIA REAL ESTATE COMPOUND,I,38000.0
NCR,TAGUIG,BAGUMBAYAN,ALL OTHER STREETS********,,RR,10000.0
NCR,TAGUIG,BAGUMBAYAN,ALL OTHER STREETS********,None,CR,15000.0
NCR,TAGUIG,BAGUMBAYAN,ALL OTHER STREETS********,None,I,14000.0
NCR,TAGUIG,BAGUMBAYAN,ALL OTHER STREETS********,None,X,13000.0
NCR,TAGUIG,BAGUMBAYAN,ADRIANO HOMES**,,RR,14000.0
NCR,TAGUIG,BAGUMBAYAN,ADRIANO HOMES**,,CR,20000.0
NCR,TAGUIG,BAGUMBAYAN,AGUAHAN VILLAGE,,RR,11000.0
NCR,TAGUIG,BAGUMBAYAN,AGUAHAN VILLAGE,,CR,16000.0
NCR,TAGUIG,BAGUMBAYAN,BAYWATCH HOMES,,RR,22000.0
NCR,TAGUIG,BAGUMBAYAN,BAYWATCH HOMES,,CR,31000.0
NCR,TAGUIG,BAGUMBAYAN,COCO VILLAGE,,RR,11000.0
NCR,TAGUIG,BAGUMBAYAN,COCO VILLAGE,,CR,16000.0
NCR,TAGUIG,BAGUMBAYAN,DOMINI VILLAGE,,RR,11000.0
NCR,TAGUIG,BAGUMBAYAN,DOMINI VILLAGE,,CR,16000.0
NCR,TAGUIG,BAGUMBAYAN,GUTIERREZ COMPOUND,PASONG KALABAW,RR,11000.0
NCR,TAGUIG,BAGUMBAYAN,GUTIERREZ COMPOUND,PASONG KALABAW,CR,16000.0
NCR,TAGUIG,BAGUMBAYAN,HOLY FAMILY SUBDIVISION******,M. L. QUEZON,RR,14000.0
NCR,TAGUIG,BAGUMBAYAN,HOLY FAMILY SUBDIVISION******,M. L. QUEZON,CR,20000.0
NCR,TAGUIG,BAGUMBAYAN,HOLY FAMILY SUBDIVISION******,M. L. QUEZON,X,18000.0
NCR,TAGUIG,BAGUMBAYAN,MAHOGANY HOMES*******,,RR,14000.0
NCR,TAGUIG,BAGUMBAYAN,MAHOGANY HOMES*******,,CR,20000.0
NCR,TAGUIG,BAGUMBAYAN,MAHOGANY HOMES*******,,X,16000.0
NCR,TAGUIG,BAGUMBAYAN,MANTALA SUBDIVISION**,,RR,11000.0
NCR,TAGUIG,BAGUMBAYAN,MANTALA SUBDIVISION**,,CR,16000.0
NCR,TAGUIG,BAGUMBAYAN,MARCELO I & 2,,RR,11000.0
NCR,TAGUIG,BAGUMBAYAN,MARCELO I & 2,,CR,16000.0
NCR,TAGUIG,BAGUMBAYAN,ROCKYSIDE VILLAGE,,RR,11000.0
NCR,TAGUIG,BAGUMBAYAN,ROCKYSIDE VILLAGE,,CR,16000.0
NCR,TAGUIG,BAGUMBAYAN,SAGRADA FAMILIA VILLAGE**,,RR,14000.0
NCR,TAGUIG,BAGUMBAYAN,SAGRADA FAMILIA VILLAGE**,,CR,20000.0
NCR,TAGUIG,BAGUMBAYAN,SEVERINA SUBDIVISION,,RR,11000.0
NCR,TAGUIG,BAGUMBAYAN,SEVERINA SUBDIVISION,,CR,16000.0
NCR,TAGUIG,BAGUMBAYAN,ST. MARTIN SUBD.*******,,RR,11000.0
NCR,TAGUIG,BAGUMBAYAN,ST. MARTIN SUBD.*******,,CR,16000.0
NCR,TAGUIG,BAGUMBAYAN,ST JOSEPH SIIT COMPOUND****,ROAD 1 TO 10,RR,11000.0
NCR,TAGUIG,BAGUMBAYAN,ST JOSEPH SIIT COMPOUND****,ROAD 1 TO 10,CR,16000.0
NCR,TAGUIG,BAGUMBAYAN,ST JOSEPH SIIT COMPOUND****,ROAD 1 TO 10,I,18000.0
NCR,TAGUIG,BAGUMBAYAN,VILLA FER FLOR SUBDIVISION**,,RR,14000.0
NCR,TAGUIG,BAGUMBAYAN,VILLA FER FLOR SUBDIVISION**,,CR,20000.0
NCR,TAGUIG,BAGUMBAYAN,ALL OTHER VILLAGES/SUBDIVISIONS*,,RR,10000.0
NCR,TAGUIG,BAGUMBAYAN,ALL OTHER VILLAGES/SUBDIVISIONS*,None,CR,15000.0
NCR,TAGUIG,BAGUMBAYAN,ALL OTHER VILLAGES/SUBDIVISIONS*,None,I,17000.0
NCR,TAGUIG,BAGUMBAYAN,ALL OTHER VILLAGES/SUBDIVISIONS*,None,X,13000.0
NCR,TAGUIG,BAMBANG,ACACIA AVENUE,ACACIA ESTATES,RR,25000.0
NCR,TAGUIG,BAMBANG,ACACIA AVENUE,ACACIA ESTATES,CR,32000.0
NCR,TAGUIG,BAMBANG,C. MASTRILLI ST.*,,RR,14000.0
NCR,TAGUIG,BAMBANG,C. MASTRILLI ST.*,,CR,19000.0
NCR,TAGUIG,BAMBANG,C. MASTRILLI ST.*,,X,18000.0
NCR,TAGUIG,BAMBANG,DULONG BAYAN ST.,,RR,14000.0
NCR,TAGUIG,BAMBANG,DULONG BAYAN ST.,,CR,19000.0
NCR,TAGUIG,BAMBANG,KATIPUNAN ST.,M. QUEZON-WAWA,RR,14000.0
NCR,TAGUIG,BAMBANG,KATIPUNAN ST.,M. QUEZON-WAWA,CR,19000.0
NCR,TAGUIG,BAMBANG,KENTUCKY ST.,M. QUEZON- DEAD END,RR,14000.0
NCR,TAGUIG,BAMBANG,KENTUCKY ST.,M. QUEZON- DEAD END,CR,19000.0
NCR,TAGUIG,BAMBANG,LIWAYWAY,,RR,14000.0
NCR,TAGUIG,BAMBANG,LIWAYWAY,,CR,19000.0
NCR,TAGUIG,BAMBANG,LT. RR CRUZ,,RR,14000.0
NCR,TAGUIG,BAMBANG,LT. RR CRUZ,,CR,19000.0
NCR,TAGUIG,BAMBANG,M. L. QUEZON ST.*,BRIDGE-QUEZON WAWA,RR,19000.0
NCR,TAGUIG,BAMBANG,M. L. QUEZON ST.*,BRIDGE-QUEZON WAWA,CR,27000.0
NCR,TAGUIG,BAMBANG,M. L. QUEZON ST.*,BRIDGE-QUEZON WAWA,X,24000.0
NCR,TAGUIG,BAMBANG,PASEO SAN JUAN BAUTISTA,,RR,14000.0
NCR,TAGUIG,BAMBANG,PASEO SAN JUAN BAUTISTA,,CR,19000.0
NCR,TAGUIG,BAMBANG,YASON STREET,,RR,14000.0
NCR,TAGUIG,BAMBANG,YASON STREET,,CR,19000.0
NCR,TAGUIG,BAMBANG,ALL OTHER STREETS,BAMBANG PROPER,RR,13000.0
NCR,TAGUIG,BAMBANG,ALL OTHER STREETS,BAMBANG PROPER,CR,18000.0
NCR,TAGUIG,BAMBANG,ALL OTHER STREETS,BAMBANG PROPER,X,17000.0
NCR,TAGUIG,BAMBANG,P.CRUZ VILLA**,P.CRUZ STREET,RR,14000.0
NCR,TAGUIG,BAMBANG,P.CRUZ VILLA**,P.CRUZ STREET,CR,19000.0
NCR,TAGUIG,BAMBANG,DULONG BAYAN**,DULONG BAYAN ST,RR,14000.0
NCR,TAGUIG,BAMBANG,DULONG BAYAN**,DULONG BAYAN ST,CR,19000.0
NCR,TAGUIG,BAMBANG,MAHOGANY PLACE SUBD.,ACACIA ESTATES,RR,143000.0
NCR,TAGUIG,BAMBANG,MAHOGANY PLACE SUBD.,ACACIA ESTATES,CR,165000.0
NCR,TAGUIG,BAMBANG,MAHOGANY PLACE II,ACACIA ESTATES,RR,143000.0
NCR,TAGUIG,BAMBANG,MAHOGANY PLACE II,ACACIA ESTATES,CR,165000.0
NCR,TAGUIG,BAMBANG,MAHOGANY PLACE III,ACACIA ESTATES,RR,143000.0
NCR,TAGUIG,BAMBANG,MAHOGANY PLACE III,ACACIA ESTATES,CR,165000.0
NCR,TAGUIG,BAMBANG,M RESIDENCES**,ACACIA ESTATES,RR,165000.0
NCR,TAGUIG,BAMBANG,M RESIDENCES**,ACACIA ESTATES,CR,195000.0
NCR,TAGUIG,BAMBANG,ALL OTHER VILLAGES/SUBDIVISIONS:,,RR,13000.0
NCR,TAGUIG,BAMBANG,ALL OTHER VILLAGES/SUBDIVISIONS:,None,CR,18000.0
NCR,TAGUIG,BAMBANG,ALDER RESIDENCES**,ACACIA ESTATES,RC,122000.0
NCR,TAGUIG,BAMBANG,ALDER RESIDENCES**,ACACIA ESTATES,PS,85400.0
NCR,TAGUIG,BAMBANG,ALDER RESIDENCES**,ACACIA ESTATES,CC,152000.0
