Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
NEGROS OCCIDENTAL,BAGO,POBLACION,RIAL ST,MABINI ST-LAG-ASAN BOUNDARY,CR,5000.0
NEGROS OCCIDENTAL,BAGO,POBLACION,RIAL ST,MABINI ST-LOPEZ JAENA ST,RR,2700.0
NEGROS OCCIDENTAL,BAGO,POBLACION,RIAL ST,L. JAENA ST- A. GONZAGA ST,RR,3000.0
NEGROS OCCIDENTAL,BAGO,POBLACION,RIAL ST,YULO ST-SARMIENTO ST,RR,3300.0
NEGROS OCCIDENTAL,BAGO,POBLACION,RIAL ST,SARMIENTO-BRGY LAG-ASAN BOUNDARY,RR,3000.0
NEGROS OCCIDENTAL,BAGO,POBLACION,RIAL ST,GUIMARAS STRAIT-BAGO RIVER (FISHPOND),A6,60.0
NEGROS OCCIDENTAL,BAGO,POBLACION,RIAL ST,GUIMARAS STRAIT-BAGO RIVER,A50,50.0
NEGROS OCCIDENTAL,BAGO,POBLACION,BONIFACIO ST,BRGY LAG-ASAN BOUNDARY-MATTI,RR,3000.0
NEGROS OCCIDENTAL,BAGO,POBLACION,BONIFACIO ST,MATTI ST-YULO ST,RR,3300.0
NEGROS OCCIDENTAL,BAGO,POBLACION,BONIFACIO ST,GONZAGA ST-LOPEZ JAENA ST,RR,3000.0
NEGROS OCCIDENTAL,BAGO,POBLACION,BONIFACIO ST,LOPEZ JAENA ST-DREYFUS ST,RR,2700.0
NEGROS OCCIDENTAL,BAGO,POBLACION,BONIFACIO ST,MABINI ST-GUIMARAS STRAIT,CR,4900.0
NEGROS OCCIDENTAL,BAGO,POBLACION,BONIFACIO ST,DREYFUS-GUIMARAS STRAIT,CR,4900.0
NEGROS OCCIDENTAL,BAGO,POBLACION,GEN. LUNA ST,BRGY LAG-ASAN-YULO ST,RR,3300.0
NEGROS OCCIDENTAL,BAGO,POBLACION,GEN. LUNA ST,GONZAGA ST-DREYFUS ST,RR,3000.0
NEGROS OCCIDENTAL,BAGO,POBLACION,ARANETA ST,GEN LUNA ST-GAUDITE SITE,CR,6600.0
NEGROS OCCIDENTAL,BAGO,POBLACION,ARANETA ST,ALONG SIBUD CREEK,CR,4700.0
NEGROS OCCIDENTAL,BAGO,POBLACION,ARANETA ST,ALONG SIBUD CREEK,A6,50.0
NEGROS OCCIDENTAL,BAGO,POBLACION,CELIS ST,ARANETA ST-TORRES ST,CR,6500.0
NEGROS OCCIDENTAL,BAGO,POBLACION,CELIS ST,TORRES ST-BALINGASAG BOUNDARY,I,6400.0
NEGROS OCCIDENTAL,BAGO,POBLACION,CELIS ST,TORRES ST-BALINGASAG BOUNDARY,X,3600.0
NEGROS OCCIDENTAL,BAGO,POBLACION,CELIS ST,TORRES ST-BALINGASAG BOUNDARY,RR,3000.0
NEGROS OCCIDENTAL,BAGO,POBLACION,CELIS ST,TORRES ST-BALINGASAG BOUNDARY,GP,720.0
NEGROS OCCIDENTAL,BAGO,POBLACION,MARHIL SUBDIVISION,,RR,3000.0
NEGROS OCCIDENTAL,BAGO,POBLACION,MARHIL SUBDIVISION,MARHIL SUB-SIBUD CREEK,A6,50.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,RIZAL ST,BRGY POBLACION BDRY-NATIONAL HIGHWAY,CR,5000.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,RIZAL ST,BRGY POBLACION BDRY-NATIONAL HIGHWAY,RR,3000.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,RIZAL ST,ALONG BAGO RIVER (FISHPOND),A6,50.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,RIZAL ST,ALONG BAGO RIVER,A12,40.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,RIZAL ST,ALONG BAGO RIVER,A17,100.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,BONIFACIO ST,BRGY POBLACION BDRY-NATIONAL HIGHWAY,RR,3000.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,GEN LUNA ST,BRGY POBLACION BDRY-NATIONAL HIGHWAY,RR,3300.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,NATIONAL HIGHWAY,POLICE STATION-ELEM SCHOOL,RR,3000.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,NATIONAL HIGHWAY,BACK OF POLICE STATION (INTERIOR),RR,2300.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,NATIONAL HIGHWAY,NATIONAL HIGHWAY-BDRY OF BRGY NAPOLES,A12,40.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,NATIONAL HIGHWAY,NATIONAL HIGHWAY-BDRY OF BRGY NAPOLES,A17,100.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,NATIONAL HIGHWAY,BAGO RIVER-BDRY OF VALLADOLID,RR,2000.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,NATIONAL HIGHWAY,BAGO RIVER-BDRY OF VALLADOLID,I,4400.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,NATIONAL HIGHWAY,BAGO RIVER-BDRY OF VALLADOLID,CR,4800.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,NATIONAL HIGHWAY,MA-AO ROAD BDRY OF VALLADOLID,A1,100.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,NATIONAL HIGHWAY,MA-AO ROAD BDRY OF VALLADOLID,A6,50.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,NATIONAL HIGHWAY,BAGO RIVER-MA-AO ROAD,A17,100.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,MARINA BAY SUBD,,CR,5700.0
NEGROS OCCIDENTAL,BAGO,LAG -ASAN,MARINA BAY SUBD,,RR,2700.0
