Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,S T R E E T    N A M E /                                                                         S U B D I V I S I O N /                                                                                 C O N D O M I N I U M,V I C I N I T Y,CLASS,5th REVISION
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,DASMARINAS,M DE BINONDO - Q. PAREDES,CR,132400.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,ESTRAUDE,M DE BINONDO - J. LUNA,CR,55550.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,INGRESO,M DE BINONDO - J LUNA,CR,72500.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,JUAN LUNA,M DE BINONDO - M DE INDUSTRIA,CR,116700.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,HORMIGA,JUAN LUNA - Q. PAREDES,CR,72500.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,MEISIC,JUAN LUNA - ESTERO DELA REINA,CR,62800.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,M DEL BANCO NACIONAL,J LUNA - M DEL BDO,CR,76300.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,MUELLE DELA INDUSTRIA,M DE BINONDO - Q. PAREDES,CR,65000.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,MUELLE DE BINONDO,M DELA INDUSTRIA - J LUNA,CR,101800.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,NIMFA,M DE BINONDO - J. LUNA,CR,72500.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,PYREIRA,M DE BINONDO - J. LUNA,CR,55550.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,QUINTIN PAREDES,ONGPIN - J. LUNA,CR,94750.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,RENTAS,M DEL BINONDO - J. LUNA,CR,72500.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,REINA REGENTE,PLAZA LORENZO-EST DELA REINA,CR,72500.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,SAN FERNANDO,M DEL BINONDO - J. LUNA,CR,80350.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287 Zone 27,SAN GABRIEL,M DEL BINONDO - J. LUNA,CR,72500.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,S T R E E T    N A M E /                                                                         S U B D I V I S I O N /                                                                                 C O N D O M I N I U M,V I C I N I T Y,CLASS,5th REVISION
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,COHER REALTY DEVT CORP,JUAN LUNA STREET,RC,32905.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,COHER REALTY DEVT CORP,JUAN LUNA STREET,CC,35631.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,COHER REALTY DEVT CORP,JUAN LUNA STREET,PS,32905.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,HILLCREST CONDO,JUAN LUNA STREET,RC,29650.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,HILLCREST CONDO,JUAN LUNA STREET,CC,31562.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,HILLCREST CONDO,JUAN LUNA STREET,PS,29650.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,JUAN LUNA PLAZA,JUAN LUNA STREET,RC,29650.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,JUAN LUNA PLAZA,JUAN LUNA STREET,CC,38650.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,JUAN LUNA PLAZA,JUAN LUNA STREET,PS,29650.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,STATE CENTER INVESTMENT CONDO,JUAN LUNA STREET,RC,32250.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,STATE CENTER INVESTMENT CONDO,JUAN LUNA STREET,CC,44375.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,STATE CENTER INVESTMENT CONDO,JUAN LUNA STREET,PS,32250.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,WORLD TRADE EXCHANGE CENTER CONDO,JUAN LUNA STREET,RC,47250.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,WORLD TRADE EXCHANGE CENTER CONDO,JUAN LUNA STREET,CC,59050.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,WORLD TRADE EXCHANGE CENTER CONDO,JUAN LUNA STREET,PS,47250.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,FORTUNE PLAZA CONDO,JUAN LUNA STREET,RC,47250.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,FORTUNE PLAZA CONDO,JUAN LUNA STREET,CC,59050.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,FORTUNE PLAZA CONDO,JUAN LUNA STREET,PS,45750.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,UNITED GROUP BLDG,JUAN LUNA STREET,RC,47250.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,UNITED GROUP BLDG,JUAN LUNA STREET,CC,59050.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,UNITED GROUP BLDG,JUAN LUNA STREET,PS,47250.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,NOBLE PLACE,DASMARINAS cor JUAN LUNA STS.,RC,56250.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,NOBLE PLACE,DASMARINAS cor JUAN LUNA STS.,CC,66250.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,NOBLE PLACE,DASMARINAS cor JUAN LUNA STS.,PS,56250.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,CBY TOWER,MUELLE DE BINONDO,RC,50000.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,CBY TOWER,MUELLE DE BINONDO,CC,53750.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,CBY TOWER,MUELLE DE BINONDO,PS,50000.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,SOLALEGRIA,MUELLE DE BINONDO,RC,50000.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,SOLALEGRIA,MUELLE DE BINONDO,CC,53750.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,SOLALEGRIA,MUELLE DE BINONDO,PS,50000.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,SKY RESIDENCE,PRENSA STREET,RC,50000.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,SKY RESIDENCE,PRENSA STREET,CC,53750.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,SKY RESIDENCE,PRENSA STREET,PS,50000.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,REGINA GARDEN I,REINA REGENTE STREET,RC,33500.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,REGINA GARDEN I,REINA REGENTE STREET,CC,36375.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,REGINA GARDEN I,REINA REGENTE STREET,PS,33500.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,REGINA GARDEN II,REINA REGENTE STREET,RC,33500.0
National Capital Region (NCR),"Binondo, Manila",Barangay 287Zone 27,REGINA GARDEN II,REINA REGENTE STREET,CC,36375.0
