Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
TARLAC,BAMBAN,ANUPUL,ALL LOTS,ALONG THE ROAD,CR,1250.0
TARLAC,BAMBAN,ANUPUL,ALL LOTS,ALONG THE ROAD,X,1250.0
TARLAC,BAMBAN,ANUPUL,ALL LOTS,ALONG THE ROAD,I,1100.0
TARLAC,BAMBAN,ANUPUL,ALL LOTS,ALONG THE ROAD,RR,800.0
TARLAC,BAMBAN,ANUPUL,ALL LOTS,INTERIOR,RR,450.0
TARLAC,BAMBAN,ANUPUL,ALL LOTS,INTERIOR,A1,75.0
TARLAC,BAMBAN,ANUPUL,ALL LOTS,INTERIOR,A2,40.0
TARLAC,BAMBAN,ANUPUL,ALL LOTS,INTERIOR,A10,30.0
TARLAC,BAMBAN,ANUPUL,ALL LOTS,INTERIOR,A15,30.0
TARLAC,BAMBAN,ANUPUL,ALL LOTS,INTERIOR,A17,35.0
TARLAC,BAMBAN,ANUPUL,ALL LOTS,INTERIOR,A40,1250.0
TARLAC,BAMBAN,ANUPUL,ALL LOTS,AGRO-LIVESTOCK/ PIGGERY/ POULTRY,A50,250.0
TARLAC,BAMBAN,ANUPUL,ALL LOTS,AGRO-LIVESTOCK/ PIGGERY/ POULTRY,A50,28.0
TARLAC,BAMBAN,ANUPUL,METRO BAMBAN,,RR,2000.0
TARLAC,BAMBAN,ANUPUL,METRO BAMBAN,CORNER LOT,RR,2300.0
TARLAC,BAMBAN,ANUPUL,PUEBLO REAL,,RR,2000.0
TARLAC,BAMBAN,ANUPUL,PUEBLO REAL,CORNER LOT,RR,2300.0
TARLAC,BAMBAN,BANABA,ALL LOTS,,RR,500.0
TARLAC,BAMBAN,BANABA,ALL LOTS,None,A41,15.0
TARLAC,BAMBAN,BANABA,ALL LOTS,Lahar Area,A50,65.0
TARLAC,BAMBAN,BANGCU,,,I,450.0
TARLAC,BAMBAN,BANGCU,ALL LOTS,None,RR,275.0
TARLAC,BAMBAN,BANGCU,ALL LOTS,None,A41,15.0
TARLAC,BAMBAN,BANGCU,ALL LOTS,AGRO-LIVESTOCK/ PIGGERY/ POULTRY,A50,100.0
