Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
,,ARKONG BATO,KAP E. ALEJANDRINO ST (ARKONG BATO ROAD),PALASAN-NAVARETTE ST,RR,4300.0
,,ARKONG BATO,KAP E. ALEJANDRINO ST (ARKONG BATO ROAD),PALASAN-NAVARETTE ST,CR,8500.0
,,ARKONG BATO,KAP E. ALEJANDRINO ST (ARKONG BATO ROAD),PALASAN-NAVARETTE ST,I,6000.0
,,ARKONG BATO,A. FELICIANO ST.,MH DELPILAR ST TO END,RR,4700.0
,,ARKONG BATO,A. FELICIANO ST.,MH DELPILAR ST TO END,CR,8500.0
,,ARKONG BATO,A. FELICIANO ST.,MH DELPILAR ST TO END,I,8100.0
,,ARKONG BATO,A. URRUTIA ST.,MH DEL PILAR ST TO END,RR,4700.0
,,ARKONG BATO,A. URRUTIA ST.,MH DEL PILAR ST TO END,CR,8500.0
,,ARKONG BATO,A. URRUTIA ST.,MH DEL PILAR ST TO END,I,8100.0
,,ARKONG BATO,CORDERO ST.,MH DELPILAR ST TO END,RR,4700.0
,,ARKONG BATO,CORDERO ST.,MH DELPILAR ST TO END,CR,8500.0
,,ARKONG BATO,CORDERO ST.,MH DELPILAR ST TO END,I,8100.0
,,ARKONG BATO,DECENA ST.,MH DELPILAR ST TO END,RR,4700.0
,,ARKONG BATO,DECENA ST.,MH DELPILAR ST TO END,CR,8500.0
,,ARKONG BATO,DECENA ST.,MH DELPILAR ST TO END,I,8100.0
,,ARKONG BATO,DELA CRUZ ST.,MH DELPILAR ST TO END,RR,4700.0
,,ARKONG BATO,DELA CRUZ ST.,MH DELPILAR ST TO END,CR,8500.0
,,ARKONG BATO,DELA CRUZ ST.,MH DELPILAR ST TO END,I,8100.0
,,ARKONG BATO,DENIEGA ST.,MH DELPILAR ST TO END,RR,4700.0
,,ARKONG BATO,DENIEGA ST.,MH DELPILAR ST TO END,CR,8500.0
,,ARKONG BATO,DENIEGA ST.,MH DELPILAR ST TO END,I,8100.0
,,ARKONG BATO,EVANGELISTA ST.,MH DELPILAR ST TO END,RR,4700.0
,,ARKONG BATO,EVANGELISTA ST.,MH DELPILAR ST TO END,CR,8500.0
,,ARKONG BATO,EVANGELISTA ST.,MH DELPILAR ST TO END,I,8100.0
,,ARKONG BATO,H. BAUTISTA ST.,MH DELPILAR ST TO END,RR,4700.0
,,ARKONG BATO,H. BAUTISTA ST.,MH DELPILAR ST TO END,CR,8500.0
,,ARKONG BATO,H. BAUTISTA ST.,MH DELPILAR ST TO END,I,8100.0
,,ARKONG BATO,INDUSTRIAL ROAD,MH DEL PILAR TO OBANDO BDRY,RR,5100.0
