Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
LEYTE,PROPER,ORMOC CITY PROPER,AGUA DULCE,JUNCTION AVILES-AGUA DULCE,CR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,AGUA DULCE,JUNCTION AVILES-AGUA DULCE,RR,16500.0
LEYTE,PROPER,ORMOC CITY PROPER,ARRADAZA,AVILES-CARLOS TAN,RR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,AVILES,FOOT OF ALEGRIA BR-NAVARRO,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,AVILES,J NAVARRO-FOOT BR OF PARDON,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,BONIFACIO,FOOT OF PIER-OSMENA,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,BONIFACIO,FOOT OF PIER-OSMENA,X,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,BONIFACIO,OSMENA-HERMOSILLA DR,RR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,BURGOS,JUAN LUNA-NAVARRO,CR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,C HERMOSILLA DRIVE,REAL-RIZAL,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,C HERMOSILLA DRIVE,REAL-RIZAL,RR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,C HERMOSILLA DRIVE,RIZAL EXT-CARLOS TAN(NW SIDE),CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,C HERMOSILLA DRIVE,RIZAL EXT-CARLOS TAN(NW SIDE),RR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,C HERMOSILLA DRIVE,RIZAL EXT-CARLOS TAN(NE SIDE),CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,C HERMOSILLA DRIVE,RIZAL EXT-CARLOS TAN(NE SIDE),RR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,CALLEJON,PUBLIC MKT FENCE-JUAN LUNA,CR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,CARLOS TAN,MABINI-RIZAL,CR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,CARLOS TAN,RIZAL-FOOT MALBASAG BR,CR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,CARLOS TAN,RIZAL-FOOT MALBASAG BR,RR,22000.0
LEYTE,PROPER,ORMOC CITY PROPER,GUIJO ST.,ALONG GUIJO ST.,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,EBONY ST.,ALONG EBONY ST.,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,INAKI A. LARRAZABAL ST.,MANCONO ST - SAN PABLO ST.,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,IPIL ST.,ALONG IPIL ST.,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,ISMAEL CATAAG,BONIFACIO-AGUA DULCE,CR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,ISMAEL CATAAG,BONIFACIO-AGUA DULCE,RR,16500.0
LEYTE,PROPER,ORMOC CITY PROPER,MOLAVE ST.,ALONG MOLAVE ST.,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,J NAVARRO,RECLAIMED AREA-LOPEZ JAENA,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,J NAVARRO,LOPEZ JAENA-CARLOS TAN,RR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,JUAN LUNA,PUBLIC MKT SITE-AVILES,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,JUAN LUNA,AVILES - CREEK,RR,16500.0
LEYTE,PROPER,ORMOC CITY PROPER,JUAN LUNA,CREEK - LOPEZ JAENA,RR,15000.0
LEYTE,PROPER,ORMOC CITY PROPER,KANGLEON,REAL-BONIFACIO,CR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,KANGLEON,REAL-BONIFACIO,RR,22500.0
LEYTE,PROPER,ORMOC CITY PROPER,LANETE ST.,ALONG LANETE ST.,CR,22500.0
LEYTE,PROPER,ORMOC CITY PROPER,LOPEZ JAENA ST.,JUAN LUNA - MABINI ST,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,LOPEZ JAENA ST.,JUAN LUNA - MABINI ST,RR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,LOPEZ JAENA ST.,MABINI ST - J  NAVARRO ST,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,LOPEZ JAENA ST.,J. NAVARRO ST - AGUA DULCE ST,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,LOPEZ JAENA ST.,J. NAVARRO ST - AGUA DULCE ST,RR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,MABINI,EBONY ST (PUBLIC MARKET)- L JAENA ST,CR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,MABINI,PUBLIC MKT-CARLOS TAN (WEST SIDE),CR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,MABINI,L JAENA-C TAN (WEST SIDE ONLY),CR,33000.0
LEYTE,PROPER,ORMOC CITY PROPER,MABINI,L JAENA-C TAN (WEST SIDE ONLY),RR,28000.0
LEYTE,PROPER,ORMOC CITY PROPER,MACAASIN ST.,ALONG MACAASIN ST.,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,MALACADIOS ST.,ALONG MALACADIOS ST.,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,MANCONO ST.,ALONG MANCONO ST.,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,MOLAVE ST.,ALONG MOLAVE ST.,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,OBRERO,SAN PEDRO- SAN PABLO,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,OSMENA,MABINI-AGUA DULCE,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,OSMENA,MABINI-AGUA DULCE,RR,22500.0
LEYTE,PROPER,ORMOC CITY PROPER,OSMENA,MABINI-FOOT OF OSMENA BRIDGE,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,OSMENA,MABINI-FOOT OF OSMENA BRIDGE,RR,22500.0
LEYTE,PROPER,ORMOC CITY PROPER,REAL,PUBLIC MARKET-SAN NICOLAS,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,REAL,SAN NICOLAS-CANTUBO,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,RIZAL,PUBLIC MARKET-CARLOS TAN,CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,RIZAL,C TAN-HERMOSILLA DRIVE (NW),CR,37500.0
LEYTE,PROPER,ORMOC CITY PROPER,RIZAL,C TAN-HERMOSILLA DRIVE (NW),RR,30000.0
LEYTE,PROPER,ORMOC CITY PROPER,RIZAL,HERMOSILLA DRIVE-DIST 29 EXT,CR,33000.0
LEYTE,PROPER,ORMOC CITY PROPER,RIZAL,HERMOSILLA DRIVE-DIST 29 EXT,RR,16500.0
LEYTE,PROPER,ORMOC CITY PROPER,SAN JOAQUIN,REAL-RIZAL,CR,37500.0
