Province,City/Municipality,Barangay,Street/Subdivision,Vicinity,Classification,ZV/SQM
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,ALONG NATIONAL ROAD,CR,6150.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,ALONG NATIONAL ROAD,RR,3700.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,ALONG MUNICIPAL ROAD,RR,3320.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,ALONG BARANGAY ROAD,RR,3210.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,RR,2425.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A1,60.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A2,50.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A3,25.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A4,50.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A5,50.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A6,50.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A7,15.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A10,25.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A11,35.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A12,50.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A14,50.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A15,25.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A16,50.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A17,50.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A19,60.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A24,25.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A25,35.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A26,35.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A36,15.0
CAMARINES SUR,BAAO,AGDANGAN,ALL LOTS,INTERIOR LOTS,A48,60.0
CAMARINES SUR,BAAO,ANTIPOLO,ALL LOTS,ALONG PROVINCIAL ROAD,RR,1970.0
CAMARINES SUR,BAAO,ANTIPOLO,ALL LOTS,ALONG MUN./ BRGY. ROAD,RR,1815.0
CAMARINES SUR,BAAO,ANTIPOLO,ALL LOTS,INTERIOR,RR,1175.0
CAMARINES SUR,BAAO,ANTIPOLO,ALL LOTS,INTERIOR,A1,55.0
CAMARINES SUR,BAAO,ANTIPOLO,ALL LOTS,INTERIOR,A3,20.0
CAMARINES SUR,BAAO,BAGUMBAYAN,BISENIO ST.,ALL LOTS ALONG BISENIO ST.,RR,2575.0
CAMARINES SUR,BAAO,BAGUMBAYAN,KALYE ONSE,ALL LOTS ALONG KALYE ONSE.,RR,2575.0
CAMARINES SUR,BAAO,BAGUMBAYAN,BAESA ST.,ALL LOTS ALONG BAESA ST.,RR,2575.0
CAMARINES SUR,BAAO,BAGUMBAYAN,ANO ST.,ALL LOTS ALONG ANO ST.,RR,2575.0
CAMARINES SUR,BAAO,BAGUMBAYAN,DE VILLA ST.,ALL LOTS ALONG DE VILLA ST.,RR,2575.0
CAMARINES SUR,BAAO,BAGUMBAYAN,MAMERTO ST.,ALL LOTS ALONG MAMERTO ST.,RR,2575.0
CAMARINES SUR,BAAO,BAGUMBAYAN,BIANDO ST.,ALL LOTS ALONG BIANDO ST.,RR,2575.0
CAMARINES SUR,BAAO,BAGUMBAYAN,DOROIN ST.,ALL LOTS ALONG DOROIN ST.,RR,2575.0
CAMARINES SUR,BAAO,BAGUMBAYAN,ALVARO ST.,ALL LOTS ALONG ALVARO ST.,RR,2575.0
CAMARINES SUR,BAAO,BAGUMBAYAN,GALLARTE ST.,ALL LOTS ALONG GALLARTE ST.,RR,2575.0
CAMARINES SUR,BAAO,BAGUMBAYAN,QUE APRAN ST.,ALL LOTS ALONG QUE APRAN ST.,RR,2575.0
CAMARINES SUR,BAAO,BAGUMBAYAN,QUE ALNAS ST.,ALL LOTS ALONG QUE ALNAS ST.,RR,2575.0
CAMARINES SUR,BAAO,BAGUMBAYAN,QUE ALNAS ST.,ALONG BARANGAY ROAD,RR,2990.0
CAMARINES SUR,BAAO,BAGUMBAYAN,QUE ALNAS ST.,INTERIOR,RR,2400.0
CAMARINES SUR,BAAO,BAGUMBAYAN,ALL LOTS,,A2,40.0
CAMARINES SUR,BAAO,BAGUMBAYAN,ALL LOTS,None,A4,60.0
CAMARINES SUR,BAAO,BULUANG,TABUCO ST.,ALL LOTS ALONG TABUCO ST.,RR,2600.0
CAMARINES SUR,BAAO,BULUANG,ITONAN ST.,ALL LOTS ALONG ITONAN ST.,RR,2600.0
CAMARINES SUR,BAAO,BULUANG,MIKASA ST.,ALL LOTS ALONG MIKASA ST.,RR,2600.0
CAMARINES SUR,BAAO,BULUANG,SAGUP ST.,ALL LOTS ALONG SAGUP ST.,RR,2600.0
CAMARINES SUR,BAAO,BULUANG,ST. PHILIP ST.,ALL LOTS ALONG ST. PHILIP ST.,RR,2600.0
CAMARINES SUR,BAAO,BULUANG,LIBOTON ST.,ALL LOTS ALONG LIBOTON ST.,RR,2600.0
CAMARINES SUR,BAAO,BULUANG,BAYANIHAN ST.,ALL LOTS ALONG BAYANIHAN ST.,RR,2600.0
CAMARINES SUR,BAAO,BULUANG,BRAVO ST.,ALL LOTS ALONG BRAVO ST.,RR,2600.0
CAMARINES SUR,BAAO,BULUANG,YOUNG DREAMERS ST.,ALL LOTS ALONG YOUNG DREAMERS ST.,RR,2600.0
CAMARINES SUR,BAAO,BULUANG,ZONE CENTRO ST.,ALL LOTS ALONG ZONE CENTRO ST.,RR,2600.0
CAMARINES SUR,BAAO,BULUANG,ALL LOTS,ALONG NATIONAL ROAD,CR,4900.0
CAMARINES SUR,BAAO,BULUANG,ALL LOTS,ALONG NATIONAL ROAD,X,4900.0
CAMARINES SUR,BAAO,BULUANG,ALL LOTS,ALONG NATIONAL ROAD,RR,3700.0
CAMARINES SUR,BAAO,BULUANG,ALL LOTS,ALONG PROVINCIAL  ROAD,CR,4625.0
CAMARINES SUR,BAAO,BULUANG,ALL LOTS,ALONG PROVINCIAL  ROAD,RR,3525.0
CAMARINES SUR,BAAO,BULUANG,ALL LOTS,ALONG MUNICIPAL  ROAD,CR,3500.0
CAMARINES SUR,BAAO,BULUANG,ALL LOTS,ALONG MUNICIPAL  ROAD,RR,3125.0
CAMARINES SUR,BAAO,BULUANG,ALL LOTS,ALONG BARANGAY  ROAD,CR,3050.0
CAMARINES SUR,BAAO,BULUANG,ALL LOTS,ALONG BARANGAY  ROAD,RR,2450.0
CAMARINES SUR,BAAO,BULUANG,ALL LOTS,ALONG BARANGAY  ROAD,A1,60.0
CAMARINES SUR,BAAO,BULUANG,ALL LOTS,ALONG BARANGAY  ROAD,A2,40.0
CAMARINES SUR,BAAO,BULUANG,ALL LOTS,ALONG BARANGAY  ROAD,A4,50.0
CAMARINES SUR,BAAO,BULUANG,ALL LOTS,ALONG BARANGAY  ROAD,A12,45.0
CAMARINES SUR,BAAO,BULUANG,ALL LOTS,ALONG BARANGAY  ROAD,A14,45.0
CAMARINES SUR,BAAO,BULUANG,ALL LOTS,ALONG BARANGAY  ROAD,A40,2250.0
